NPAID	SMILES
NPA020678	CC[C@H](C)[C@@H]1C(=O)NCC(=O)N[C@@H](C(=O)NCC(=O)N[C@@H](C(=O)N[C@@H](CC(=O)NCC(=O)N[C@H](C(=O)N1)CC2=CC=CC=C2)C(=O)N[C@@H]([C@H](C)CC)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)NCC(=O)N[C@@H](CC4=CN=CN4)C(=O)N[C@@H](CC5=CC=C(C=C5)O)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@H](CC(=O)O)C(=O)N[C@H](CC6=CC=CC=C6)C(=O)O)CC(=O)N)CC7=CNC8=CC=CC=C87
NPA020679	CC1=CC(=C2C(=C1)C(=O)[C@@](O2)(C3CC(=O)NC(=O)C3)O)C
NPA020680	C1=CC(=C(C=C1C(CNC=O)O)C2=C(C=CC(=C2)C(C(C(=O)O)NC=O)O)O)O
NPA020681	C[C@@H]1[C@@H]([C@](NC1=O)([C@H](C(C)C)O)C(=O)SC[C@@H](C(=O)O)NC(=O)C)O
NPA020682	C/C=C\[C@H]1[C@@](O1)(C)C2=CC(=O)C3=C(C=C4C(=C3O2)C(=O)C5=C(C=CC(=C5C4=O)O)O)CC(=O)O
NPA020683	CC(C)C[C@@H](C(=O)NCC(=O)N)NC(=O)[C@@H]1CCCN1
NPA020684	CC(=O)NC1=CC2=NC3=C(C=CC(=C3)CO)OC2=CC1=O
NPA020685	C1C[C@@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2C1)CC3=CC=CC=C3)CC4=CC=CC=C4)CCCCCC(=O)[C@@H]5CO5
NPA020686	C1CCN2[C@H](C1)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C2=O)CC3=CC=CC=C3)CC4=CC=CC=C4)CCCCCC(=O)[C@@H]5CO5
NPA020687	COC1=CC(=C2C(=C1)C=C(OC2=O)CO)O
NPA020688	C1=C2C=C(C=C(C2=C(C3=C1C(=O)C4=CC(=CC(=C4C3=O)O)O)O)O)O
NPA020689	CCC(C)C(C(=O)NC1C(OC(=O)C2CCCNN2C(=O)C(NC(=O)C3CCCNN3C(=O)C(NC(=O)C(NC1=O)CC(C)C)C(C)C)CC(C)C)C)NC=O
NPA020690	C1[C@H]([C@@H]([C@@H]([C@@H]([C@H]1N[C@H]2C=C([C@@H]([C@H]([C@@H]2O)O)O)CO)O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O)CO
NPA020691	CC[C@H](C)[C@H](C(=O)N[C@H]1[C@H](OC(=O)[C@H](NC(=O)[C@@H](NC(=O)/C(=C/C2=CNC3=CC=CC=C32)/NC(=O)[C@@H](NC(=O)/C(=C\C)/NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC1=O)[C@@H](C)O)CO)[C@H](C(C)C)O)CO)CCCN)CC4=CC=CC=C4)C(C)C)N
NPA020692	CC[C@H](C)[C@@H](C(=O)N[C@@H]1[C@H](OC(=O)[C@H](NC(=O)[C@@H](NC(=O)/C(=C(/C2=CNC3=CC=CC=C32)\O)/NC(=O)[C@H](NC(=O)/C(=C/C)/NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](NC1=O)[C@H](C)O)CO)[C@H](C(C)C)O)CO)CCCN)CC4=CC=CC=C4)C(C)C)N
